,text,label,id
44,"@romanponomaryov @navalny @DrAnastasy @vigimadi Пономарь, ты опять обхуярился?",negative,1246224166434385922
45,"иоооо нэг тариа тариулсан үхэхжийн 💉
баруун талын хөл тэр чигээрээ янгиначлаа😢",skip,1287697297606762497
46,"итак время софтить тэхена
 https://t.co/H8wwf6IcEV",positive,1262119542597332993
47,@dontwastemyouth мне так приятно❤️❤️🥺🥺,positive,1250860864674115584
48,@raccoonya2 О ма гад. У меня даже такого не было.....,neutral,1296921012475396097
49,@motherland_sale думаю тут грань размыта,neutral,1318905343641047041
50,чимин самый вкусный рисовый пирожочекк https://t.co/r4HLfnRJZT,positive,1252550225434218496
51,Я НЕ ТАМ СВЕРНУЛА И ПРИЕХАЛА В ДЕРЕВНЮ https://t.co/wjQO2dzW3D,skip,1268031678355734528
52,"@nunjje Такая же фигня, я не помню большую часть своего детства, а я знаю я его только из рассказов своих родителей и видеозаписей",negative,1249824364071202825
53,"Сегодня ночью буду обнимать только книги и рефераты, а хотелось бы вас. Сладких снов, миледи/милорд. Спите сладко.",positive,1322274695157293058
54,@_Sweet_Foxy_ понимаю ((,skip,1331679503341547523
55,В Симферополе разрабатывают план по обустройству велодорожек.  https://t.co/TngAzcGCix,neutral,1303640925017714699
56,"Отменила последнюю бронь отпускного жилья. Очень больно, помогите",negative,1250058783688142849
57,@zerana_stay Красивааа,positive,1300787439338913797
58,"#BANGBANGCON мы посмотрели целый концерт 🥺🤙🏻
Я уже в душ успела сходить да где второй",neutral,1251383487506132993
59,Мне нужно переводить эфир мальчиков..... думаю вот чем я займусь ночью,neutral,1326551014606921730
60,"Блин, свадьбу хочу",positive,1241012571760668674
61,@just_our_star Спасибо 🥰,speech,1288900270106214400
62,@yoursbitchh @Pour_un_reve Так безопасней. На этом же настаивали два Сергея,positive,1270011859572326400
63,@AnnaOmegova Ахаххах,positive,1306851215934881793
64,@keyz_dnwm покойной тебе увуня...💖💕💝💘💗💓💘💓💕💗💕,skip,1282413401482960896
65,Открывай! https://t.co/4lzJ0uAkRP,skip,1239295369177190400
66,@rat_else а ой,neutral,1308241267034292224
67,@iamgryffindors Что,neutral,1257934357039366144
68,@lastbirdofsouth как что-то плохое),skip,1324310505486454788
69,"рыбалка в инском на тёплом канале , уклейка , карасики, прикорм мастырка... https://t.co/yXI68vw44n с помощью @YouTube",neutral,1246412171904499714
70,Снова позвонили с ебучей работы с:,negative,1298899029489745920
71,тоби и курама софтятся конец света близок да,negative,1297601366328827904
72,@ja_jamong_ еще хуже,negative,1320383147972923393
73,Вы вместе просто идеальны!,positive,1320281402529677312
74,"В музыкальную школу Бузулука впервые приобрели клавишные гусли
https://t.co/Z54s5N5EsV",neutral,1319226656691785730
75,@stpkv @_agattie а это солнышко или можно по пацански,neutral,1342386454140489730
76,"на случай если день не удался♥
.
.
.
©santasticly 
#ATEEZ #San https://t.co/94pyU3bOmr",positive,1230822841542684679
77,Бранислав Иванович покинет «Зенит» по окончании текущего сезона,neutral,1270082927892639745
78,@Lost_MyHome грех жаловаться я считаю.......,neutral,1280619787064926209
79,"сегодня перед сном желаю, чтобы уголочек вашего одеяла, который вы обнимаете, сказал вам что именно этих тёплых объятий он ждал весь день",positive,1275142579693256705
80,Монголия закрыла границу с Китаем.,neutral,1221112553822195714
81,@14Melasya Я из Красного Луча🖐️ а учусь в Луганске 🖐️,neutral,1244230450169565185
82,@midhowl понимаю :з,neutral,1290257907594825728
83,@gayprimero @st1rygay @lunliss @snisinica @Xaocits всем снятся....,neutral,1320022123218436102
84,"@ttuyrtt удачи тебе! танцы - это лучшее, что придумало человечество🥺❤️",positive,1314938316404535299
85,Лежу так https://t.co/rprpBaiIwx,neutral,1256873340712738816
86,ах ах https://t.co/1fEXICzQNE,skip,1217469477824143360
87,Я ненавижу сексуализацию женских персонажей 👺👺👺,negative,1254144941783240714
88,"Хочу на жизнь кирпич повесить,
чтоб не въезжали дураки.",negative,1217044070549348353
89,@be_my_emotions Воу воу БэДэМэСэ,skip,1226996365433044992
90,"@ln645 @red_semi_sweet @BTS_twt Я очень далеко(( 
#MTVHottest  BTS @BTS_twt",negative,1285904664643489792
91,"если это правда насчёт тао и чжиын , то я блять всё...я уже щас орать буду",negative,1330395933050331136
92,"Как думаете, что будет если я так сфоткаюсь https://t.co/IbLDSQJxVb",neutral,1273726867892289542
93,Самый блятт сложный экзамен для меня,negative,1213927950128701445
94,"@9Hokage7 Плиз ты сама такой котичек, ты все это заслужила, ты молодец",positive,1306602363688570880
95,чтО Я НАШЁЛ- https://t.co/2s4Eu9vTFh,skip,1297583175653380096
96,День удался https://t.co/UtQTgRIMZx,positive,1312250497366142976
97,@pochemu_ta Заусенец на мизинце да?,neutral,1333115377165938694
98,@tuluuna и тебе🥺💖,positive,1296893644646100992
99,ты мой сахар и в этом соль,neutral,1303350628853395456
100,@Umfcsamregion ну вот и дождались. спасибо.,positive,1252283983611789313
101,@margo43432973 Ор,skip,1296839806568235010
102,"@DRIVEyoucRazy89 Отличная работа! Я вами очень довольна. 5 баллов лично вам, и 30 Гриффиндору. Обещаю еще поблажку на экзамене /подмигнула/",positive,1299279503173140482
103,@Nickolas_Grin Похвально от стопгейма,positive,1335896662112432129
104,"@akai_no_sinchan эээ....
небось, ино-ущемленцы поблочили хд",negative,1314880447617413122
105,@MarkUrbanist @xyendelson Гад..😞,negative,1323684061026623488
106,"Мой рост 156 см 
Что вам нужно сделать чтобы поцеловать меня? https://t.co/Q6dCVbNmRE",neutral,1329094545376747527
107,"@_nushoti У моей жены такой есть.

И да, это я",neutral,1218976587741384704
108,он крошечный 🥺 https://t.co/ltGB5A9O0F,neutral,1291460322285453313
109,"Ну вот впервые
https://t.co/MIKL9SpAx3",neutral,1234461177952055296
110,@snakey_ssnake Делать еще ╰(‵□′)╯ (мне понравилось),positive,1305562469902020608
111,@oyukhaaaa @khaliunbuga Шөнөжин хөөгдөж байхаар нэг хөлөндөө тээглээд ч болтугай унадаг байгаа даа 🤣🤣🤣,skip,1336517041595944961
112,@cerealporridge 😭😭😭😭♥️♥️♥️♥️ спасибо 😭♥️♥️♥️♥️,speech,1328053850490761216
113,"любая защита это вагина 

любая атака это член",skip,1311917406709854209
114,"В СевГУ прошел круглый стол по случаю Дня солидарности в борьбе с терроризмом
https://t.co/gRhxMl6LEQ https://t.co/jvx1TwAIQQ",neutral,1301586517173956609
115,"@great_knee Бро,моя тоже",neutral,1296560667240128513
116,@GGuchenko @Ares29014619 @arlig23 @Stepan05244836 а что ты так перепугался то?,neutral,1336383239120957443
117,"галя, подай                              ГАЛЯ 
мне, пожалуйста,                  ХЛЕБ
хлеб https://t.co/zuojNCxqHY",neutral,1277681136051859456
118,@stragerks @belkahanj Взаимный чс?,neutral,1326457552922669056
119,@nickstepler @bubblegumchuu @BTS_twt я буквально... ок не обосрись,negative,1321145232033984512
120,@lvilka_huilkal Шары распадутся?,neutral,1300114689779789824
121,"@GintokiLovesYou ТЫ СДЕЛАЛ ЧТО-

ГИНТОКИ ТЫ В БАНЕ",negative,1313515306506223616
122,@bsa_ym7 писать,skip,1260663376717516801
123,"@ungAiPthznYQsqT @m_for_mixacb Не, к сожалению, это врач из Беларуси",neutral,1298356269774929922
124,а что-то вечно https://t.co/KRegezgMpT,neutral,1324743105975910402
125,в группе Нервы состоит реинкарнация Маяковского,neutral,1233820208625836032
126,"@lesbogadalka ❤ или 📚, не хочу напрягать сильно!! 👉👈",neutral,1296110488426815492
127,"пиздануться не проснуться. пью 2 дня подряд, сегодня я точно не буду.",negative,1241901806155857923
128,@_vaskerr Я нэжно,positive,1298658616174575618
129,я заныла 🥺🥺💔💔💔 https://t.co/x4dOcoh1gN,negative,1268546797603078146
130,@Fedor_Kuh_ Бекон,skip,1331005025691312133
131,"@tupoicherv а если это туберкулез,,,,",negative,1333384135575035904
132,"@_kirishin_ уже никак, боюсь..",negative,1272490085087313920
133,Хорошое шоу вышло в замену #Eurovision,positive,1261760766048419841
134,@_venchic_ @pientrafil У моей младшей школы есть заброшенный магазин в которой можно устроить личную дурку если там нет трупов,negative,1225502463366778881
135,ЯЯЯЯ чувствую это все и правда я так люблю эти запахи... https://t.co/ZHr8TAfxWW,positive,1309194242259116033
136,@the_eismen ХЕПИ НЬЮ ЕАР,speech,1344756462397042691
137,@rianru НИКТО ХУЙЛУ НЕ ДОВЕРЯЕТ- ЗАБУДЬТЕ ДУМАТЬ,negative,1305973960476110848
138,@GessFCSM Пропустил в Турции половину матчей по мышечным травмам,neutral,1314631788304699392
139,@Snegoook Спасибо 😘,speech,1292022845552431110
140,@arctic_lanes @elenash5000 @quintocolumno А как же супы?,neutral,1273296309982769154
141,боже у меня реально отмер мозг я не могу думать аахаха...,skip,1281266628433448961
142,@shotohoho хихи риллайф канкри бррр,skip,1306934825224462336
143,@AQ0yWu1gmkdoakm Горит восток зарею новой https://t.co/6Gg14V1Sgf,neutral,1216461087450648576
144,@Valera_Sever У нас в России всё хорошо 👌🏻 https://t.co/czx0wK8lAz,positive,1242359425685389312
145,Вы бы знали какой щя треш у меня с сессией !!! Я ненавижу это помойку ебаную,negative,1338966120888459264
146,с нг,speech,1344750674257571853
147,короче в пизду вашего дворецкого там стекло нахцй,negative,1273571917694468097
148,@hyudence что такое??,neutral,1305958051481030659
149,@raduga02963571 ЖЕНИТЬСЯ,neutral,1292459896227729409
150,@yoonveta у моей тоже лооол,neutral,1333706446886854659
151,@your_cute_chush спасибо кот 🥺💔,speech,1313150829860450304
152,"@ya_ne_sanya Так, выживут трое?",neutral,1300017281263636480
153,@utopiataee и ещё у них был в твиттере вопрос-ответ,neutral,1284181183207702529
154,"Девочки, всех с прекрасным праздником!
Любите себя и будьте счастливы! И здоровы) https://t.co/oR4mlXDK8F",speech,1236556849350090753
155,@NastyaSk6 Я умру прям там на ви го,negative,1218278315812888581
156,"@DmAstaroth поглядите ка, еще кобенится",negative,1282297617737756673
157,@codemancer хорошо,positive,1310602693745008642
158,@CALLIN_VIC Пугающая😭😭😭😭😭,negative,1291033451206975495
159,"Фан-бои: Блин! Наранча такой милый и добрый:)

Наранча на самом деле: https://t.co/AOt1PdNw5r",positive,1322181212509818881
160,потому что тупая👊🏻😺,skip,1336725561444622336
161,22 правила жизни от Монеточки https://t.co/6GcGRjh8BH,neutral,1291675817249054720
162,@inuzuka_boy Ты не Тобирама одумайся.,neutral,1318310847199006722
163,@belamova а вдруг объедут по кругу и вернутся,neutral,1292983412459003905
164,"Я сразу после того, как создал Лунара: https://t.co/JPT5uN9u3h",neutral,1337773025945669633
165,@chimachhi увуву спасибо большое...,speech,1292734816065134593
166,@Starssinmyes @holy_marshal_ Такое бы в 19 задании,neutral,1334512575355170817
167,А мне приснился Искандар Мамадалиев,neutral,1324179567683227648
168,@KinchevKzn Там шумно:) Лучше рядом с Paddington - туда поезд из Хитроу приезжает,neutral,1293074915411857409
169,@Divona19 мой ник:😎😎😎😎,neutral,1324352406558302214
170,"""Абсент возбуждает сознание. Зеленой фее, живущей в абсенте, нужна ваша душа"".
Сука, шесть лет прошло, а все равно переворачивает. Брррр. 😅",positive,1335374110545895426
171,"- А мне зима больше нравится, чем лето. 
- Почему? 
- Территория лучше простреливается.",negative,1309405630994747399
172,"потом будет поздно что-то понимать,поэтому нужно ценить сейчас🥰",positive,1281924479879446533
173,еще девочка в тиктоке выбесила своим 'комаэда мой муж потому что я люблю психов' нет??? он не псих??? очнись пожалуйста,negative,1259888973998174219
174,@SUPPORT_C_MAPCA это поддержано министерством здравоохранения? серьезно?,neutral,1246870902966542338
175,"а представьте, если они когда-то дропнут клип на 'precious' 🤪",neutral,1214126416222134273
176,"@SchweigerdtAlex @SERG__ROTENBERG И сбежать нельзя!!! Вот сволочи, не пускают потенциального заразчика среди людей погулять.",negative,1226552016647966724
177,"@dddddied @persona184 Не, ребят,  я конечно все понимаю, но этого я не понимаю 🗿 https://t.co/K73WVzYbZ0",negative,1267927995156770816
178,@Aleks_Basson Иногда и подольше удавалось...,neutral,1235971404241285121
179,@omniologija @alquimi30201886 @djvucicevic Браво 👏👏👏 завидан интелект 😂😂😂,positive,1247988898866900992
180,"@mashawannasay Маша, бояться нечего",positive,1250093189580632065
181,Михаил Мишустин: меры по борьбе с коронавирусом в России были своевременные и правильные  https://t.co/bYMCUoZDMk,neutral,1296860899739947008
182,"@Sevara0828 лекин бирар марта ГАИ аёл курмаганман, к,анак,а бу э гендер тенглик)",skip,1314952405071654912
183,"@znak_com Лукашеску ещё хотел сказать, что Гитлер таких как Тихановская вообще убивал. Но подумал, что это перебор и промолчал",negative,1296823356507987968
184,"Другими словами, в нашу с вами сторону круглосуточно из космоса будет смотреть 48 тысяч радаров.",neutral,1223185622141153280
185,@Slesar21 @watermelonONK А я бы Павла поставил выше Иисуса. Без его пиар кампании про Иисуса забыли бы через пару лет,neutral,1327672026224594944
186,@_kyomuu Какой шрифт вы используете? Или это написано от руки?,neutral,1318501323139129344
187,"@uuuuvvuuu Умф, обажаю этот трек",positive,1237366425527992320
188,"Самые полезные зимой продукты

  https://t.co/sLOfoGTkKM https://t.co/oYuUAqnVJa",neutral,1219920226449530880
189,"Всё еще в поисках золотой середины, где с кондиционером ок или с открытым окном не хочется сдохнуть. Но всё ещё нет",negative,1272540961994952704
190,ДА ТЫ ЗАЕБАЛ МЕНЯТЬ АККАУНТЫ https://t.co/BaTu9c2a2p,negative,1331550725609054212
191,когда я говорю что чонхо король вокала я не вру а говорю лишь факты  https://t.co/bOz1PdwrZh,neutral,1226724272514703360
192,@moyshasheckel5 @t_felg Смыл. Норм теперь,neutral,1283687865923272705
193,Типа... Это же должно быть неудобно.... А мне удобно...,neutral,1235179758708719618
194,я правда блять так люблю аниме я пришла в Твиттер сегодня с конченным настроением в итоге я улыбаюсь смеюсь и плачу но только от смеха,skip,1288590260700618765
195,@AgustaD7 Мэкачина. Прикольно 😆,positive,1333014411896893441
196,"Скорость тырнета на Билайне - Аш голова кружится!!!
https://t.co/MRZlRG9dng",positive,1225207947757793280
197,@kryakrya95 Я ещё раз посмотрела. Все отлично 😏,positive,1286557365458829312
198,@her_na_lnr @Next_Linch ну там не народ сидит-там лучшие люди народа и плевали они на любого гетьмана.,negative,1260517985359454208
199,моя любовь будет с тобой даже когда не будет луны,positive,1307718526711607296
200,@desveryy Я только села,neutral,1265741840009084928
201,"Класс, опять из всех дел за день я успела заняться только хуйней. Продуктивность 10/10",negative,1310609018734477313
202,"@alexey0869 @8Wedma Я путешествую много, да и я собачница, коты воняют и своенравны, это не со мной.",negative,1293812026574282753
203,"А еще у меня сетчатка стала тоньше, и возможно нужно будет делать операцию 🙃",negative,1240185228498546688
204,"@tete_chip такой милый смущающийся котенок, боже люблю его 😭",skip,1324037670197219328
205,@PJMPROMlSE нет мне жаль вас:(,negative,1282016892971094018
206,"Вы знакомы с работами Евгения Винокурова? У меня нет слов, чтобы описать, какие чувства вызывает его поэзия.",positive,1315255254800371714
207,@Guru6poFQWET Всё нормально,neutral,1252143453468844037
208,@svetiiny ой,neutral,1257648754263547905
209,Гармин порадовал что я улучшил время прохождения 40км на 36 минут с мая месяца. https://t.co/gQ74DPyt72,positive,1296431512045355008
210,@teenidle_yo Ты точно не будешь,skip,1216712737318952961
211,"Они такие прекрасные, я сейчас буду плакать https://t.co/F33AeK07DO",positive,1308718272624328706
212,накупила дохуя еды жду ильнура потому что сама не дотащу,neutral,1257316716385693696
213,@nnastiny урра я не одна!! 🥺🥺,positive,1314259367659700224
214,@DokUSSR ... К соседу в гости за солью сходить и краснея признаться - Ой ! Не добегу ! ...,neutral,1254981017544392711
215,"НЕ НУ ВЫ ВИДЕЛИ ЧЕ ТВОРЯТ???

#NCT127 #Punch
#NCT127_Punch
#NeoZone_TheFinalRound",negative,1262762680416256000
216,сука охуевшая меня буллят больше чем тебя жертва ты наша любимая завались и не позорься,negative,1219200173513105409
217,"@favedoingwave Понимаю, солнце, прекрасно понимаю",positive,1303602022864818176
218,В России отменен «банковский роуминг» - https://t.co/Mb8JGsgkHQ,neutral,1271985501906636800
219,"@Goodz_A @IgorDzhus я не понимаю, ты на полном серьезе пытаешься тягаться со мной своим тупым юмором? очнись))",negative,1256196715616616449
220,мясо просто снос башки,positive,1246206529411448833
221,@FrmGROZN ахахахвхажвхаза.,skip,1256669690484740097
222,Зеленский дал два дня на принятие закона о продаже земли https://t.co/gGPsluoTAF,neutral,1225388256671543296
223,@ponny1 Тебя вонючку только без звука смотреть. Ты обосраная тварь.,negative,1240316464093069312
224,"@novusordoru @nina_ninysha Не знаю Вашу терминологию: лжелевые, а вижу одно реально - в Минске майданчик по типу украинского. Всё...",negative,1293838677186158592
225,"Я думаю каждый, кто со мной общался дольше одного дня, хоть раз сказал ""Лика блять""
моё имя и блять это как два синонима",skip,1255791310944034816
226,мертвецы вэй усяня когда слышат зов чэньцин https://t.co/erAiKgewZe,neutral,1272043060352950272
227,"@vurdinberg У меня там просто было ""нахуй иди""😅",negative,1285116752037380096
228,"Это могли бы быть мы, но ты против метисации. https://t.co/Rk3E3evZ0T",skip,1294272145917452293
229,Вопрос для тех кто шарит: это потому что мы не певучие и такой тембр норма для большинства или просто вокабери говно? 😕,negative,1251709808547434496
230,"@_oCHo_oCHo_ Эх, ну ничего, зато сможешь вечером насладится всей прелестью этого эпизода",positive,1272881870812983296
231,@koksik_24 там сильно не гуляла,neutral,1274007605241876481
232,"@sapkmw ага, потому что ""Незатыкающийся-Мару"" не пойдёт, на ""мару"" в японском заканчиваются названия судов.",neutral,1323595104007917568
233,У меня очень сомнительное чувство юмора https://t.co/YKsiQPgYxw,neutral,1216033671112728576
234,@NafidaniNasus Све.,skip,1289506644833923073
235,"Хөөе Мардай гуай , хөргөгчинд байсан өргөлийн архи хэн уучиваа чихшиг...намайг түрүүн өргөл өргөхийг хараагүүм байхдаа! Сониен",skip,1330507677714112514
236,Хочется почувствовать себя молодой в клубе для молодых. Вот.,neutral,1264327424231313412
237,Вакансия: Менеджер интернет - магазина https://t.co/T46faX55aL,neutral,1213613322832089090
238,послушала DAx4 за день уже раз сто блять.,skip,1288551740242046979
239,@ax_voronenok Поэтому я и готова стать кактусом,neutral,1284986904807702529
240,@rnluhehe ахахахахппхххп https://t.co/ULvm9SSabf,skip,1304123311924928513
241,Русский зимний футбол. https://t.co/gTbUkK54kw,neutral,1231189750880636928
242,@bbsbro_ доброй ноченьки 💕,speech,1288168112425246721
243,"Продам землю 10.0 сот 300000 руб г Красноярск ДНТ Солнечная Поляна, Емельяновский р-н https://t.co/k2DtNFIrxV",neutral,1287010371249807361
244,"@xlebaly @advokat_stupin @SobolLubov Поверь, им посрать. Есть задача насрального продвигать, они это и делают.",negative,1340576528103575553
245,"@cunnfox @MyasoedovPavel @dw_russian А ты был в США , жил там ? ))))) Думаю , что ты миллионер ... )))))",skip,1236240070362923013
246,"угадайте кто проспал все, что только можно в этом мире?",negative,1340960105597120514
247,"хочу себе куклу барби,чтобы потом у меня была большая коллекция🥺💔",neutral,1250166669579870210
248,@zuluushka @da_sukhbat Ганц хоноод буцна гэсэн 10 жил болчихсон хүмүүс бдаг шүү🤣😂,skip,1316687768995553280
249,"Чувствую себя максимум ахуенно
Желаю всем хорошего настрояния и всякого хорошего ну того чамого 
Да всем споклйной ночти",positive,1339996640401305603
250,страшно создавать контент зная что существует пиздняков и его армия уебанов,negative,1291132189292269568
251,@your_lie_your_ херасе,skip,1284252893210726400
252,"@JustUndiesChch Такой аппетитный ""бугорок"" Мммм.",positive,1329835079116288007
253,@pashamavlova Погуглите синдром беспокойных ног и попробуйте калий и магний попить,neutral,1268901887371366412
254,@zagraydenis Спаси Вас Бог ！,speech,1274292754995183617
255,@6opxvv Гол обектоо л харсан бол болоо🤣🤣🙏🙏,skip,1288728312039137280
256,"@1ralavella1 надеюсь, ноги утром не умрут",negative,1296782294259249154
257,"В 16 веке зверька #капибару — грызуна, ведущего полуводный образ жизни объявили рыбой, чтобы её мясо можно было есть во время постов.",neutral,1243095299532431363
258,КАТЯ ТЫ В ТЕЛЕВИЗОРЕ СОЛНЦЕ!!,positive,1261352203085733889
259,"@SdibqJgth в Кремле тоже думали,что леса горят это бомбы Ленина,а это оказалось ЛДПР",neutral,1255563912570966017
260,@mone_fairy что:(,skip,1317838111410409472
261,@SmirnAnn что это значит?,neutral,1274065893476257792
262,@suguruloveu Я не фотографируюсь в последнее время,neutral,1318499322451865600
263,"@tsipor_dror Лучше быть другом патологоанатома, чем пациентом. https://t.co/Yyfeth4Yiv",neutral,1245370260682874881
264,@whodoIhave Не пиши. Делов то,neutral,1250087267244392449
265,На границах проверяют на наличие неоплаченных штрафов https://t.co/bw8Uhrr6IT,neutral,1270762761656709120
266,@d1scoqueen Ааааа это так красиво 😍😍 у тебя очень приятный голос ❤,positive,1225443009111711744
267,"@lana_del_andray Отлично, сейчас буду кушоть!!!",positive,1275474152019963907
268,2005. Гламур. ЖЖ. Фотошоп. «Наши». Меркель. Монетизация. Валуев. Пробки.... https://t.co/fMXpYrJ9f3 с помощью @YouTube,skip,1244620470105890817
269,@rinaajk спасибо 🥺💖,speech,1325919226595586050
270,https://t.co/o5p4hVvM9u: Проект постановления администрации Мирного https://t.co/0OHpwwZ4JC,neutral,1218084153079619584
271,"@ilovekirumitojo @Baron__Saturday Женского
Гетеро 
Мужское",skip,1336259230324682752
272,@vika71rus Я уже не знаю чего и кого бояться,negative,1292141552761020416
273,@volgafilm @slasten_ Ну да) А в SAO GGO там ключевое оружие загадочного киллера - пистолет ТТ 😂,positive,1270394216519172096
274,@wszfgxuhklivl Боже),neutral,1339992525801742337
275,я слушаю свою любимую песню нст раз в тыщу лет потому что когда включаю её начинаю плакать на первых секундах,neutral,1246443415304392704
276,"мяу
 #НовыйАватар https://t.co/Uj3SocnWmg",neutral,1225461912869142529
277,@lazyseptemberr Спасибо 🙌🏼,speech,1333495368529698817
278,"@SryvnyyNerv Удачи, павочан!",speech,1312317660726808576
279,"@well_syxjker77 да, кинь телегу пж",neutral,1320294157399838721
280,Пойду посмотрю бога старшей школы,neutral,1344144769321209857
281,"@Jungwooblessme Выбери, что из этого мне бы больше подошло",neutral,1215365606540816384
282,"Сама вчера писала типа будьте спокойны, а уже сегодня написала 2 жалобы 😅 моего спокойствия хватило на 3 дня",skip,1295931957839355905
283,Притом он первый Маори получивший Оскар в данной категории! Невероятный просто,positive,1226774566443286528
284,Приду домой поплачу,negative,1311637986375802880
285,"@Dendanben123 я решил сменить ориентацию потому что я не забыла про то что я тебе и Андрею нагрубила

...wtf...",neutral,1270559572785274880
286,@EM0KAMI а ты собрала шкатулки?,neutral,1343558992799424512
287,"Чувствую я многое пропустила 👀 что-то произошло с НСТ , тег у нас какой-то загадочный тоже . 
Ну ни на минуту из Тви нельзя уйти 👀",neutral,1237092319381401602
288,А теперь я смело могу назвать ее своей подругой и вообще очень люблю ❤️ https://t.co/FcOPkG12Y0,positive,1247254899865407492
289,Как должен реагировать здоровый мужчина на злые сплетни о нем ВК? https://t.co/jjKlpZoW2o,neutral,1221463977756151808
290,"@aavst @navalny Ну не удивительно, если вся страна друг друга спрашивает: Ну что, смотрел/а?9",neutral,1315276725429960705
291,@_carameldancen @kkrkkrt ты и я,neutral,1306507580819333121
292,@NekroVolk ЖОПА МЕЧТЫ,positive,1336674332219740161
293,"@Cardinal_Whale @xopyc_akcimand @nicolasmrabbit понял, но мне похуй",negative,1216389616539967490
294,"Начало конца нефтяной иглы.

https://t.co/apN1p8b6gb",negative,1270800585881800707
295,@HKrassenstein Смерть пиндосам,negative,1277263983163006976
296,"нахуя мне идти на оформление и окрашивание бровей, если я могу и дома блять общипать половину волос и жалеть потом",negative,1261490338306408456
297,"В убийстве 14-летней девочки в Москве подозревается подросток, который покончил с собой:
https://t.co/94DFQdRtAG https://t.co/1gSkPFPYDo",negative,1330143356266164227
